"filename", "language", "JavaScript", "XML", "CSS", "Markdown", "JSON", "JSON with Comments", "Prisma", "Ini", "comment", "blank", "total"
"c:\proj\src\server\actions\fetchPeople.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10
"c:\proj\src\server\actions\finishRegistration.js", "JavaScript", 69, 0, 0, 0, 0, 0, 0, 0, 10, 7, 86
"c:\proj\src\server\actions\getAllSkills.js", "JavaScript", 19, 0, 0, 0, 0, 0, 0, 0, 0, 3, 22
"c:\proj\src\server\actions\getCitiesFromApi.js", "JavaScript", 23, 0, 0, 0, 0, 0, 0, 0, 0, 5, 28
"c:\proj\src\server\actions\getPeoples.js", "JavaScript", 132, 0, 0, 0, 0, 0, 0, 0, 2, 6, 140
"c:\proj\src\server\actions\getPostById.js", "JavaScript", 60, 0, 0, 0, 0, 0, 0, 0, 0, 6, 66
"c:\proj\src\server\actions\getPosts.js", "JavaScript", 91, 0, 0, 0, 0, 0, 0, 0, 0, 9, 100
"c:\proj\src\server\actions\getProfile.js", "JavaScript", 211, 0, 0, 0, 0, 0, 0, 0, 9, 8, 228
"c:\proj\src\server\actions\getRatedPosts.js", "JavaScript", 88, 0, 0, 0, 0, 0, 0, 0, 0, 7, 95
"c:\proj\src\server\actions\getUserPosts.js", "JavaScript", 93, 0, 0, 0, 0, 0, 0, 0, 0, 6, 99
"c:\proj\src\server\actions\hr\Email.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"c:\proj\src\server\actions\hr\invite.js", "JavaScript", 61, 0, 0, 0, 0, 0, 0, 0, 5, 12, 78
"c:\proj\src\server\actions\hr\verify.js", "JavaScript", 23, 0, 0, 0, 0, 0, 0, 0, 0, 6, 29
"c:\proj\src\server\actions\inserts\insertAll.js", "JavaScript", 784, 0, 0, 0, 0, 0, 0, 0, 1, 55, 840
"c:\proj\src\server\actions\messenger\chechIfChatExist.js", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 0, 0, 4, 25
"c:\proj\src\server\actions\messenger\checkCircles.js", "JavaScript", 176, 0, 0, 0, 0, 0, 0, 0, 0, 15, 191
"c:\proj\src\server\actions\messenger\checkIfCircles2.js", "JavaScript", 93, 0, 0, 0, 0, 0, 0, 0, 0, 10, 103
"c:\proj\src\server\actions\messenger\createChat.js", "JavaScript", 34, 0, 0, 0, 0, 0, 0, 0, 0, 7, 41
"c:\proj\src\server\actions\messenger\fetchChats.js", "JavaScript", 22, 0, 0, 0, 0, 0, 0, 0, 0, 5, 27
"c:\proj\src\server\actions\messenger\fetchMessages.js", "JavaScript", 32, 0, 0, 0, 0, 0, 0, 0, 1, 4, 37
"c:\proj\src\server\actions\messenger\getListOfChats.js", "JavaScript", 148, 0, 0, 0, 0, 0, 0, 0, 4, 13, 165
"c:\proj\src\server\actions\messenger\getMessages.js", "JavaScript", 119, 0, 0, 0, 0, 0, 0, 0, 10, 13, 142
"c:\proj\src\server\actions\messenger\getProfileByChatId.js", "JavaScript", 351, 0, 0, 0, 0, 0, 0, 0, 9, 14, 374
"c:\proj\src\server\actions\messenger\sendMessage.js", "JavaScript", 53, 0, 0, 0, 0, 0, 0, 0, 0, 12, 65
"c:\proj\src\server\actions\messenger\updateListOfChats.js", "JavaScript", 137, 0, 0, 0, 0, 0, 0, 0, 4, 14, 155
"c:\proj\src\server\actions\messenger\updateMessages.js", "JavaScript", 120, 0, 0, 0, 0, 0, 0, 0, 11, 13, 144
"c:\proj\src\server\actions\pitches\getPitchesCount.js", "JavaScript", 42, 0, 0, 0, 0, 0, 0, 0, 3, 9, 54
"c:\proj\src\server\actions\posts\deletePost.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"c:\proj\src\server\actions\posts\deletePostHandler.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8
